po_number,supplier_code,supplier_name,material_code,material_name,quantity,unit_price,total_amount,currency,order_date,delivery_date,status,quality_issue,issue_description
4500000118,SUP_001,苏州精密零件有限公司,MAT001,铝合金板,50,420.00,21000.00,CNY,2025-09-15,2025-09-25,completed,yes,部分产品尺寸偏差超出允许范围
4500000119,SUP_001,苏州精密零件有限公司,MAT001,铝合金板,80,420.00,33600.00,CNY,2025-10-10,2025-10-20,completed,yes,表面有划痕，影响使用
4500000120,SUP_001,苏州精密零件有限公司,MAT001,铝合金板,100,420.00,42000.00,CNY,2025-11-05,2025-11-15,completed,no,
4500000121,SUP_002,上海金属材料有限公司,MAT002,不锈钢板,30,680.00,20400.00,CNY,2025-09-20,2025-10-01,completed,no,
4500000122,SUP_002,上海金属材料有限公司,MAT006,铜线,20,450.00,9000.00,CNY,2025-10-15,2025-10-25,completed,no,
4500000123,SUP_002,上海金属材料有限公司,MAT002,不锈钢板,25,680.00,17000.00,CNY,2025-11-10,2025-11-20,completed,no,
4500000124,SUP_003,深圳电子元件厂,MAT003,电子连接器,500,12.50,6250.00,CNY,2025-09-25,2025-10-10,completed,no,
4500000125,SUP_003,深圳电子元件厂,MAT007,PCB电路板,200,25.00,5000.00,CNY,2025-10-20,2025-11-10,completed,no,
4500000126,SUP_004,北京化工原料有限公司,MAT004,化工溶剂,10,2800.00,28000.00,CNY,2025-09-30,2025-10-05,completed,no,
4500000127,SUP_004,北京化工原料有限公司,MAT008,塑料颗粒,50,320.00,16000.00,CNY,2025-10-25,2025-11-01,completed,no,
4500000128,SUP_005,广州包装材料厂,MAT005,包装纸箱,500,8.50,4250.00,CNY,2025-11-01,2025-11-05,completed,no,
4500000129,SUP_001,苏州精密零件有限公司,MAT001,铝合金板,120,420.00,50400.00,CNY,2025-11-20,2025-12-01,pending,no,
4500000130,SUP_002,上海金属材料有限公司,MAT002,不锈钢板,40,680.00,27200.00,CNY,2025-11-25,2025-12-05,pending,no,
4500000131,SUP_003,深圳电子元件厂,MAT003,电子连接器,1000,12.50,12500.00,CNY,2025-11-28,2025-12-15,pending,no

